date,username,comment,processed_comment
2022-08-19 14:01:07,@BranchEducation,"How many shooting stars did you see throughout the video?  Post what you counted and we&#39;ll pick a random correct comment to receive a prize.  Also, check out the Creator&#39;s Comments found in the English (Canada) subtitles for many additional details.  Note: you can access them via the options button -&gt; transcript -&gt; English(Canada).  FAQ: Q1)  Do the two phase shifts from beam steering and 64QAM mess each other up?  A: No.  For transmission, the data is encoded into the 64QAM signal and sent to all the beamformers where then the beam steering phase shift is added.  Then the signal is sent to the front-end modules which increases the power for the patch antennas.",mani shoot star see throughout video post count well pick random correct comment receiv prize also check creator comment found english canada subtitl mani addit detail note access via option button transcript englishcanada faq q two phase shift beam steer qam mess transmiss data encod qam signal sent beamform beam steer phase shift ad signal sent frontend modul increas power patch antenna
2025-02-17 15:36:13,@jacktzu7740,Screw Musk and his Totalitarian.,screw musk totalitarian
2025-02-17 11:58:12,@fordsrestorations970,Small children adapt to this very simply but for older adults they need to delete what they&#39;ve been programmed to re-record Fresh information,small children adapt simpli older adult need delet theyv program rerecord fresh inform
2025-02-17 01:54:54,@Dolo-j2o,Unbelievable,unbeliev
2025-02-16 00:46:45,@chriskincaid6035,Thank You ...,thank
2025-02-15 22:20:53,@iecasper,It&#39;s not mind-blowing. It&#39;s a guy reinventing the same crap.,mindblow guy reinvent crap
2025-02-15 20:05:56,@glennrager3684,"After setting up my Dishy McFlatface I couldn&#39;t help but wonder how it works. So, I watched several over-simplified, non-technical explanations and learned nothing. Then I stumbled on this video... Wow! So in-depth, I am amazed. Great animations. This is exactly what I was looking for, even though much of it is over my head. That&#39;s okay, I saved it to my favorites. Thanks!",set dishi mcflatfac couldnt help wonder work watch sever oversimplifi nontechn explan learn noth stumbl video wow indepth amaz great anim exactli look even though much head that okay save favorit thank
2025-02-15 14:01:58,@jameslarot6292,"Studied computer science in college and learned a lot about how computers work. The IC chips that are soldered on the PCB boards which are intricately interconnected to the CPUs (central processing units), which direct all the command in machine language, and are being processed and stored into RAM (random access memory). There&#39;s also the ROM (read only memory) where the instructions are stored for execution processing. Imagine thousands of these Computers inside hundreds of these PCB (printed circuit boards) that are telling the other components to do their specific tasks in order for intricate parts of the Satellite Dish to function without errors. Hundreds or thousands of these Satellites orbiting the Earth while communicating with the Starlink Dish installed on top of the roof or any platform simultaneously is amazing. The Electrons, Protons, and Neutrons which are not new but had been around since GOD created the Heavens and the Earth. This is how I know that there&#39;s a Creator who also gave Wisdom, Knowledge, and Understanding to mankind and the  Bible confirms it.",studi comput scienc colleg learn lot comput work ic chip solder pcb board intric interconnect cpu central process unit direct command machin languag process store ram random access memori there also rom read memori instruct store execut process imagin thousand comput insid hundr pcb print circuit board tell compon specif task order intric part satellit dish function without error hundr thousand satellit orbit earth commun starlink dish instal top roof platform simultan amaz electron proton neutron new around sinc god creat heaven earth know there creator also gave wisdom knowledg understand mankind bibl confirm
2025-02-15 12:15:55,@Matyas-lj7cx,Amazing video,amaz video
2025-02-15 01:26:53,@ianpor1,"Wow amazing video, incredible well made thank you",wow amaz video incred well made thank
2025-02-14 13:22:03,@Silverium-t4k,Flat earth...no satellites....EMR bounces off the dome (firmament).,flat earthno satellitesemr bounc dome firmament
2025-02-14 09:41:13,@wallymcguire2033,"I’m not sure what I was expecting, but this topic was definitely more complicated than I thought. Impressive work by the scientists and engineers that research these topics and turn them into products that we can use and enjoy.<br><br>Well, done to the Branch Education team for putting out such high-quality work",im sure expect topic definit complic thought impress work scientist engin research topic turn product use enjoywel done branch educ team put highqual work
2025-02-13 16:50:16,@hashiquev4422,Nice,nice
2025-02-13 14:46:34,@workingman32205,"I had adream last night and in that dream i saw the saudi prince , vladimir putin, donald trump and benjamin net... All sitting around a table exchanging golden rings and kissing each other profusely celebrating their global domination over the sheep.",adream last night dream saw saudi princ vladimir putin donald trump benjamin net sit around tabl exchang golden ring kiss profus celebr global domin sheep
2025-02-13 09:09:47,@WingChang-tp7kt,glad there is a channel to explain complex things,glad channel explain complex thing
2025-02-12 13:01:37,@RajuAhmed-m2n9j,Yes wow Kaman,ye wow kaman
2025-02-12 07:23:39,@noroc6303,😮😮😮😮😮,
2025-02-12 03:29:25,@krajaneesh,I wish there was YouTube and I had seen this video while answering Phased Array antennae questions in college in 1998. Thanks for the wonderful explanation.,wish youtub seen video answer phase array antenna question colleg thank wonder explan
2025-02-11 23:10:02,@deevnn,Nice to know but responding two years later I and millions of American say &quot;F&quot; musk. Ruin him financially. We as <br>tax payers funded this program so remove it from criminal musk and let someone else manage it. Do not purchase<br>any product or service from a musk business because you would be supporting a wannabe dictator.,nice know respond two year later million american say f musk ruin financi tax payer fund program remov crimin musk let someon els manag purchaseani product servic musk busi would support want tobe dictat
2025-02-11 09:26:04,@janclydetalosig8668,"I&#39;m studying these now in my university, I hope more videos like this will come. It&#39;s really informative for someone like me who&#39;s on the course of Electronics and Communications Engineering",im studi univers hope video like come realli inform someon like who cours electron commun engin
2025-02-11 09:13:21,@schoolemailchannel101,"This video makes it seem like the satellites orbit. Regular satellites stick to the firmament, and the earth rotates below the firmament. Some.satellites fly instead of stick, but these should not be called satellites",video make seem like satellit orbit regular satellit stick firmament earth rotat firmament somesatellit fli instead stick call satellit
2025-02-11 06:41:15,@urppsmoool6372,amazing,amaz
2025-02-10 23:06:05,@frankfahrenheit9537,Nobody asking here how the satellite handles simultaneous communication.<br>Obviously the beam can only be steered in 1 direction at a time.,nobodi ask satellit handl simultan communicationobvi beam steer direct time
2025-02-10 17:15:43,@NdyYC,how do you sort 6 bit numbers into the constellation diagram? like &quot;000100&quot; in the top left corner and &quot;00000&quot; in the bottom left corner? is there a source i can learn from?,sort bit number constel diagram like top left corner bottom left corner sourc learn
2025-02-10 11:12:55,@FloridaExplorer777,"FAKE! LIES! CGI! The Earth is flat with a dome over top of it, and on top of that dome is water. Praise God for His beautiful, true creation. Shame on you for your blasphemy and your lies. Repent!",fake lie cgi earth flat dome top top dome water prais god beauti true creation shame blasphemi lie repent
2025-02-09 22:34:29,@blaizejenkinson1663,Wow,wow
2025-02-09 16:52:53,@baiez2008,Engineers are the true heroes of our time.,engin true hero time
2025-02-09 16:49:44,@Barabus-yx2cn,Look at all the comments. A bunch of desperate nerds trying to impress strangers by telling them they&#39;re &quot;engineers&quot;. LMAO! Clowns.,look comment bunch desper nerd tri impress stranger tell theyr engin lmao clown
2025-02-09 14:36:15,@JamesKarolchyk,"Y’all notice this small detail ? They weren’t bitching at Elon when he was providing satellite 🛰️ communications to Joe Biden’s neo Nazi factions in west Ukraine at beginning of USA’s war. Nah, it was only after their smartphones told them to pounce on him did they ..",yall notic small detail werent bitch elon provid satellit commun joe biden neo nazi faction west ukrain begin usa war nah smartphon told pounc
2025-02-09 12:18:22,@ProdanIgorI,Amazing quality of constructing this type of material.,amaz qualiti construct type materi
2025-02-09 10:21:01,@lucalanzilao8099,I&#39;m speechless.. thank you!,im speechless thank
2025-02-09 08:38:22,@Kuladakuaura,NASA.......,nasa
2025-02-09 07:29:59,@AbdouTyping,30 minutes and no mention of the frequencies?,minut mention frequenc
2025-02-09 04:11:42,@AdrianCortes-b7f,I love how you explain it,love explain
2025-02-08 15:57:46,@SILVIOcyp,Truly appreciated! Tech communicated in such way is just incredible and I do hope it sparks the interest of our next gen to achieve more amazing things,truli appreci tech commun way incred hope spark interest next gen achiev amaz thing
2025-02-08 15:51:41,@aarronwilliams9482,"Even if you don’t understand just keep watching, and piece it together. Try rewinding till you fully get it 👍 also fyi try to do this going forward it helps you understand stuff you normally would make you think you’re “”too dumb””",even dont understand keep watch piec togeth tri rewind till fulli get also fyi tri go forward help understand stuff normal would make think your dumb
2025-02-07 15:58:44,@brucewayne9564,AMAZING 🤩,amaz
